,TICKER,COMPANY,GICS_SECTOR,GICS_INDUSTRY,HQ,CIK,WIKI_URL
445,TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",109198,https://en.wikipedia.org/wiki/TJX_Companies_Inc.
446,TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",916365,https://en.wikipedia.org/wiki/Tractor_Supply_Company
447,TT,Trane Technologies plc,Industrials,Building Products,"Dublin, Ireland",1466258,https://en.wikipedia.org/wiki/Trane_Technologies_plc
448,TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",1260221,https://en.wikipedia.org/wiki/TransDigm_Group
449,TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",86312,https://en.wikipedia.org/wiki/The_Travelers_Companies_Inc.
450,TFC,Truist Financial,Financials,Regional Banks,"Charlotte, North Carolina",92230,https://en.wikipedia.org/wiki/Truist_Financial
451,TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California",1418091,"https://en.wikipedia.org/wiki/Twitter,_Inc."
452,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",100493,https://en.wikipedia.org/wiki/Tyson_Foods
453,UDR,"UDR, Inc.",Real Estate,Residential REITs,"Highlands Ranch, Colorado",74208,"https://en.wikipedia.org/wiki/UDR,_Inc."
454,ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",1403568,https://en.wikipedia.org/wiki/Ulta_Beauty
455,USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",36104,https://en.wikipedia.org/wiki/U.S._Bancorp
456,UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1336917,https://en.wikipedia.org/wiki/Under_Armour
457,UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1336917,https://en.wikipedia.org/wiki/Under_Armour
458,UNP,Union Pacific Corp,Industrials,Railroads,"Omaha, Nebraska",100885,https://en.wikipedia.org/wiki/Union_Pacific_Corp
459,UAL,United Airlines Holdings,Industrials,Airlines,"Chicago, Illinois",100517,https://en.wikipedia.org/wiki/United_Airlines_Holdings
460,UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",731766,https://en.wikipedia.org/wiki/United_Health_Group_Inc.
461,UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",1090727,https://en.wikipedia.org/wiki/United_Parcel_Service
462,URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",1067701,"https://en.wikipedia.org/wiki/United_Rentals,_Inc."
463,UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",352915,"https://en.wikipedia.org/wiki/Universal_Health_Services,_Inc."
464,UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee",5513,https://en.wikipedia.org/wiki/Unum_Group
465,VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",103379,https://en.wikipedia.org/wiki/V.F._Corp.
466,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",1035002,https://en.wikipedia.org/wiki/Valero_Energy
467,VAR,Varian Medical Systems,Health Care,Health Care Equipment,"Palo Alto, California",203527,https://en.wikipedia.org/wiki/Varian_Medical_Systems
468,VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois",740260,https://en.wikipedia.org/wiki/Ventas_Inc
469,VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",1014473,https://en.wikipedia.org/wiki/Verisign_Inc.
470,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",1442145,https://en.wikipedia.org/wiki/Verisk_Analytics
471,VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,"New York, New York",732712,https://en.wikipedia.org/wiki/Verizon_Communications
472,VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",875320,https://en.wikipedia.org/wiki/Vertex_Pharmaceuticals_Inc
473,VIAC,ViacomCBS,Communication Services,Movies & Entertainment,"New York, New York",1339947,https://en.wikipedia.org/wiki/ViacomCBS
474,V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",1403161,https://en.wikipedia.org/wiki/Visa_Inc.
475,VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York",899689,https://en.wikipedia.org/wiki/Vornado_Realty_Trust
476,VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",1396009,https://en.wikipedia.org/wiki/Vulcan_Materials
477,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",11544,https://en.wikipedia.org/wiki/W._R._Berkley_Corporation
478,WAB,Wabtec Corporation,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",943452,https://en.wikipedia.org/wiki/Wabtec_Corporation
